RANK,技名,YoutubeURL
START01,基本姿勢（両足）10秒,https://youtu.be/QLrjCAhxs1k
START02,リカバリー（右）10秒,https://youtu.be/G_3PFqnBOwc
START03,リカバリー（左）10秒,https://youtu.be/qOxYjLTO_Hw
START04,逆スタンス（両足）10秒,https://youtu.be/a_4bGhtcIa4
STATIC01,ウォーク,https://youtu.be/byZq1PmwXRc
STATIC02,ウォーク→スクワット→ウォーク,https://youtu.be/wu-txyGgFYk
STATIC03,ドロップニー→フットプラント→ドロップニー,https://youtu.be/bBoIkVitpMI
STATIC04,ドロップニー→フロントブッダ→ダブルフットプラント→フロントブッダ→ドロップニー,https://youtu.be/gG-1VmKi4V8
STATIC05,バックウォーク,https://youtu.be/lz-JUszkgOg
STATIC06,ドロップニー→クルック→ダブルドロップニー→クルック,https://youtu.be/PzWDOf56Mns
STATIC07,インワード→ターン→ドロップニー→ターン→ドロップニー,https://youtu.be/BLoMDFNWxqk
STATIC08,モンキー→ワンフットグラブ→Lシット→ワンフットレバー,https://youtu.be/X3Xpz-uj0qI
STATIC09,スタンド→サイドブッダ→サイドソール→サイドプランク→スクワット,https://youtu.be/TgZI22oDLKQ
STATIC10,モンキー→ガンビットスワップ→クルック,https://youtu.be/_DVvAHn5GBQ
BOUNCE01,フィート→バット→フィート,https://youtu.be/hb-VRSV6kMg
BOUNCE02,フィート→チェスト→フィート,https://youtu.be/L7muyITglZ0
BOUNCE03,フィート→バット180→バット→フィート,https://youtu.be/VM2PWOyjZlk
BOUNCE04,フィート→バット→レディ→スプレドル→バット→フィート,https://youtu.be/IDZ5jQdYY6Q
BOUNCE05,フィート→バット180→バット逆スピン180→バット180→チェスト→バット→フィート,https://youtu.be/8-UXp2Cptao
BOUNCE06,フィート→バット→チェスト→モジョ→バット→フィート,https://youtu.be/-5ogs0BOP6U
BOUNCE07,フィート→バット180→フィート,https://youtu.be/nNw7FaaGq7M
BOUNCE08,フィート→バット180→クルック,https://youtu.be/xyTA9eL0Gnk
BOUNCE09,フィート→バックバウンス→フィート,https://youtu.be/BnJ4JsX1k60
BOUNCE10,フィート→バット→ナスティチェスト→バット→フィート,https://youtu.be/Kq9YVo4pFUA
